Species,Endemicity
Microtus quasiater,Continental
Microtus schelkovnikovi,Continental
Neodon sikimensis,Continental
Microtus tatricus,Continental
Microtus multiplex,Continental
Microtus duodecimcostatus,Continental
Microtus lusitanicus,Continental
Millardia kathleenae,Continental
Millardia kondana,Continental
Oligoryzomys nigripes,Continental
Oligoryzomys vegetus,Continental
Miopithecus talapoin,Continental
Nomascus concolor,Continental
Monodelphis dimidiata,Continental
Monodelphis emiliae,Continental
Monodelphis iheringi,Continental
Monodelphis kunsi,Continental
Monodelphis osgoodi,Continental
Monodelphis unistriata,Continental
Myomimus personatus,Continental
Moschus leucogaster,Continental
Myomimus setzeri,Continental
Moschus berezovskii,Continental
Moschus chrysogaster,Continental
Myomyscus yemeni,Continental
Nomascus gabriellae,Continental
Mustela felipei,Continental
Mustela strigidorsa,Continental
Muntiacus gongshanensis,Continental
Muntiacus rooseveltorum,Continental
Muriculus imberbis,Continental
Myoprocta acouchy,Continental
Mus baoulei,Continental
Mus callewaerti,Continental
Mus famulus,Continental
Mus haussa,Continental
Mus mattheyi,Continental
Mus neavei,Continental
Mus platythrix,Continental
Mus setulosus,Continental
Mus sorella,Continental
Micaelamys granti,Continental
Micaelamys namaquensis,Continental
Allactaga bullata,Continental
Allactaga hotsoni,Continental
Allactaga major,Continental
Allactaga severtzovi,Continental
Allactaga sibirica,Continental
Calomyscus hotsoni,Continental
Apodemus ponticus,Continental
Apodemus uralensis,Continental
Apodemus pallipes,Continental
Apodemus alpicola,Continental
Crocidura raineyi,Continental
Crocidura selina,Continental
Crocidura armenica,Continental
Funisciurus lemniscatus,Continental
Funisciurus pyrropus,Continental
Funisciurus substriatus,Continental
Gerbillurus paeba,Continental
Gerbillurus vallinus,Continental
Gerbillus aquilus,Continental
Gerbillus cheesmani,Continental
Gerbillus cosensis,Continental
Gerbillus dasyurus,Continental
Gerbillus dunni,Continental
Gerbillus gerbillus,Continental
Myosorex schalleri,Continental
Lemniscomys zebra,Continental
Crocidura pergrisea,Continental
Crocidura susiana,Continental
Akodon spegazzinii,Continental
Eligmodontia typus,Continental
Petaurista xanthotis,Continental
Petromyscus collinus,Continental
Petromyscus monticularis,Continental
Pseudomys johnsoni,Continental
Pseudomys patrius,Continental
Tragelaphus buxtoni,Continental
Tragelaphus eurycerus,Continental
Tragelaphus angasii,Continental
Tragelaphus imberbis,Continental
Tragelaphus oryx,Continental
Tscherskia triton,Continental
Juliomys pictipes,Continental
Xerus erythropus,Continental
Crocidura smithii,Continental
Euryoryzomys russatus,Continental
Crocidura whitakeri,Continental
Sorex dispar,Continental
Chodsigoa hypsibia,Continental
Marmota flaviventris,Continental
Neotamias dorsalis,Continental
Neotamias minimus,Continental
Sorex haydeni,Continental
Sorex hoyi,Continental
Sorex longirostris,Continental
Sorex merriami,Continental
Sorex nanus,Continental
Sorex ornatus,Continental
Chodsigoa parca,Continental
Calomyscus elburzensis,Continental
Neurotrichus gibbsii,Continental
Parascalops breweri,Continental
Scapanulus oweni,Continental
Scapanus latimanus,Continental
Scapanus orarius,Continental
Scaptochirus moschatus,Continental
Neotamias quadrivittatus,Continental
Neotamias rufus,Continental
Sylvisorex pluvialis,Continental
Cryptotis merriami,Continental
Rhipidomys macrurus,Continental
Crocidura caspica,Continental
Hylaeamys perenensis,Continental
Phyllotis limatus,Continental
Alticola olchonensis,Continental
Calomys expulsus,Continental
Crocidura bottegoides,Continental
Ctenomys mendocinus,Continental
Ctenomys torquatus,Continental
Cynomys ludovicianus,Continental
Dasymys incomtus,Continental
Dasymys montanus,Continental
Dasymys rufulus,Continental
Gerbillus percivali,Continental
Nannospalax ehrenbergi,Continental
Myosorex okuensis,Continental
Myosorex rumpii,Continental
Eospalax smithii,Continental
Neotoma goldmani,Continental
Neotoma mexicana,Continental
Neotoma micropus,Continental
Niviventer hinpoon,Continental
Niviventer langbianis,Continental
Oecomys roberti,Continental
Oecomys rutilus,Continental
Oecomys superans,Continental
Oenomys hypoxanthus,Continental
Tachyoryctes macrocephalus,Continental
Gerbilliscus leucogaster,Continental
Gerbilliscus robustus,Continental
Holochilus chacarius,Continental
Sylvisorex camerunensis,Continental
Desmomys yaldeni,Continental
Lophuromys dieterleni,Continental
Hybomys lunaris,Continental
Hybomys trivirgatus,Continental
Hybomys univittatus,Continental
Arvicanthis blicki,Continental
Arvicanthis niloticus,Continental
Aethomys thomasi,Continental
Hylomyscus baeri,Continental
Akodon albiventer,Continental
Akodon cursor,Continental
Akodon dayi,Continental
Akodon fumeus,Continental
Akodon juninensis,Continental
Akodon mimus,Continental
Akodon serrensis,Continental
Aethomys nyikae,Continental
Acomys wilsoni,Continental
Acomys cahirinus,Continental
Acomys cineraceus,Continental
Acomys kempi,Continental
Acomys louisae,Continental
Acomys percivali,Continental
Aethomys bocagei,Continental
Aethomys hindei,Continental
Aethomys kaiseri,Continental
Akodon torques,Continental
Allactodipus bobrinskii,Continental
Allocricetulus eversmanni,Continental
Alticola argentatus,Continental
Alticola macrotis,Continental
Oligoryzomys chacoensis,Continental
Alticola montosa,Continental
Alticola roylei,Continental
Alticola semicanus,Continental
Aegialomys xanthaeolus,Continental
Alticola stoliczkanus,Continental
Andinomys edax,Continental
Antidorcas marsupialis,Continental
Antilocapra americana,Continental
Hylaeamys yunganus,Continental
Alticola strelzowi,Continental
Andalgalomys pearsoni,Continental
Aplodontia rufa,Continental
Apodemus chevrieri,Continental
Ellobius alaicus,Continental
Apodemus hyrcanicus,Continental
Apodemus latronum,Continental
Arvicanthis neumanni,Continental
Atelerix frontalis,Continental
Atelerix sclateri,Continental
Auliscomys pictus,Continental
Atlantoxerus getulus,Continental
Beamys hindei,Continental
Berylmys berdmorei,Continental
Auliscomys sublimis,Continental
Baiomys musculus,Continental
Baiomys taylori,Continental
Bettongia tropica,Continental
Ellobius talpinus,Continental
Ellobius tancrei,Continental
Eolagurus luteus,Continental
Bandicota savilei,Continental
Bibimys labiosus,Continental
Necromys temchuki,Continental
Boselaphus tragocamelus,Continental
Brachiones przewalskii,Continental
Biswamoyopterus biswasi,Continental
Blarinomys breviceps,Continental
Necromys amoenus,Continental
Necromys lactens,Continental
Necromys lasiurus,Continental
Calomys sorellus,Continental
Calomys tener,Continental
Calomyscus bailwardi,Continental
Calomys laucha,Continental
Calomys lepidus,Continental
Calomyscus baluchi,Continental
Calomyscus tsolovi,Continental
Cannomys badius,Continental
Chaetodipus californicus,Continental
Chaetodipus hispidus,Continental
Chaetodipus artus,Continental
Chaetodipus intermedius,Continental
Chaetodipus nelsoni,Continental
Chaetodipus penicillatus,Continental
Abrothrix andinus,Continental
Chelemys macronyx,Continental
Chiromyscus chiropus,Continental
Myodes centralis,Continental
Colomys goslingi,Continental
Crocidura baileyi,Continental
Congosorex polli,Continental
Cremnomys cutchicus,Continental
Cricetulus alticola,Continental
Cricetulus longicaudatus,Continental
Cricetulus sokolovi,Continental
Cricetulus migratorius,Continental
Crocidura ansellorum,Continental
Cricetus cricetus,Continental
Crocidura crenata,Continental
Crocidura eisentrauti,Continental
Crocidura grassei,Continental
Crocidura kivuana,Continental
Crocidura lanosa,Continental
Crocidura longipes,Continental
Crocidura lucina,Continental
Crocidura thalia,Continental
Crocidura ludia,Continental
Crocidura polia,Continental
Crocidura maquassiensis,Continental
Crocidura phaeura,Continental
Crocidura tansaniana,Continental
Crocidura telfordi,Continental
Crocidura elgonius,Continental
Crocidura erica,Continental
Crocidura fischeri,Continental
Crocidura foxi,Continental
Crocidura harenna,Continental
Crocidura macmillani,Continental
Crocidura macowi,Continental
Crocidura pitmani,Continental
Crocidura ultima,Continental
Crocidura zimmeri,Continental
Cryptomys hottentotus,Continental
Ctenodactylus vali,Continental
Ctenomys boliviensis,Continental
Euchoreutes naso,Continental
Delanymys brooksi,Continental
Dendromus vernayi,Continental
Dendroprionomys rousseloti,Continental
Funambulus pennantii,Continental
Delomys dorsalis,Continental
Dendromus messorius,Continental
Dendromus mystacalis,Continental
Dendromus nyikae,Continental
Dendromus oreas,Continental
Desmodilliscus braueri,Continental
Desmodillus auricularis,Continental
Desmomys harringtoni,Continental
Eligmodontia moreni,Continental
Panthera leo,Continental
Dipodomys compactus,Continental
Eligmodontia puerulus,Continental
Dipodomys ordii,Continental
Dipus sagitta,Continental
Dremomys lokriah,Continental
Eligmodontia morgani,Continental
Eliomys melanurus,Continental
Eolagurus przewalskii,Continental
Caryomys eva,Continental
Caryomys inez,Continental
Eothenomys olitor,Continental
Myodes regulus,Continental
Funisciurus carruthersi,Continental
Funisciurus anerythrus,Continental
Funisciurus bayonii,Continental
Funisciurus congicus,Continental
Funisciurus isabella,Continental
Gerbillus harwoodi,Continental
Gerbillus henleyi,Continental
Gerbillus mackillingini,Continental
Grammomys macmillani,Continental
Grammomys minnae,Continental
Gerbillus mesopotamiae,Continental
Graphiurus christyi,Continental
Gerbillus simoni,Continental
Grammomys cometes,Continental
Grammomys dolichurus,Continental
Grammomys gigas,Continental
Graphiurus kelleni,Continental
Grammomys ibeanus,Continental
Hylomyscus parvus,Continental
Graphiurus platyops,Continental
Graphiurus surdus,Continental
Heterocephalus glaber,Continental
Heteromys australis,Continental
Holochilus brasiliensis,Continental
Heliophobius argenteocinereus,Continental
Heliosciurus gambianus,Continental
Heliosciurus mutabilis,Continental
Heliosciurus punctatus,Continental
Holochilus sciureus,Continental
Hylomyscus alleni,Continental
Hylomyscus carillus,Continental
Hyperacrius fertilis,Continental
Hystrix africaeaustralis,Continental
Jaculus blanfordi,Continental
Jaculus jaculus,Continental
Jaculus orientalis,Continental
Lamottemys okuensis,Continental
Lasiopodomys brandtii,Continental
Leggadina forresti,Continental
Leimacomys buettneri,Continental
Lemmus amurensis,Continental
Lemniscomys barbarus,Continental
Lemniscomys griselda,Continental
Lemniscomys hoogstraali,Continental
Lemniscomys macculus,Continental
Lemniscomys rosalia,Continental
Lemniscomys roseveari,Continental
Lemniscomys striatus,Continental
Marmosops invictus,Continental
Lepus yarkandensis,Continental
Lophuromys cinereus,Continental
Lophuromys sikapusi,Continental
Malacomys edwardsi,Continental
Malacothrix typica,Continental
Marmosa xerophila,Continental
Marmota himalayana,Continental
Microtus levis,Continental
Microtus socialis,Continental
Marmota baibacina,Continental
Marmota bobak,Continental
Marmota camtschatica,Continental
Mastomys erythroleucus,Continental
Mastomys natalensis,Continental
Melanomys caliginosus,Continental
Microtus subterraneus,Continental
Menetes berdmorei,Continental
Meriones unguiculatus,Continental
Meriones vinogradovi,Continental
Meriones arimalius,Continental
Meriones hurrianae,Continental
Meriones libycus,Continental
Meriones meridianus,Continental
Meriones rex,Continental
Meriones tamariscinus,Continental
Mesechinus hughi,Continental
Scolomys melanops,Continental
Mesocricetus raddei,Continental
Microryzomys altissimus,Continental
Microryzomys minutus,Continental
Microtus daghestanicus,Continental
Microtus evoronensis,Continental
Microtus mujanensis,Continental
Microtus limnophilus,Continental
Microtus maximowiczii,Continental
Microtus nasarovi,Continental
Scolomys ucayalensis,Continental
Sekeetamys calurus,Continental
Selevinia betpakdalaensis,Continental
Microtus mexicanus,Continental
Microtus mongolicus,Continental
Millardia gleadowi,Continental
Oxymycterus paramensis,Continental
Mus bufo,Continental
Mus indutus,Continental
Mus cookii,Continental
Mus goundae,Continental
Mus mahomet,Continental
Mus minutoides,Continental
Mus oubanguii,Continental
Mus setzeri,Continental
Mus shortridgei,Continental
Mus pahari,Continental
Mus phillipsi,Continental
Mus saxicola,Continental
Mus tenellus,Continental
Mus triton,Continental
Myosorex geata,Continental
Myospalax aspalax,Continental
Eospalax fontanierii,Continental
Myospalax psilurus,Continental
Eospalax rothschildi,Continental
Neacomys spinosus,Continental
Nectomys rattus,Continental
Nectomys squamipes,Continental
Notiomys edwardsii,Continental
Nyctomys sumichrasti,Continental
Octodon bridgesi,Continental
Oecomys bicolor,Continental
Oecomys rex,Continental
Oligoryzomys andinus,Continental
Oligoryzomys destructor,Continental
Oligoryzomys eliurus,Continental
Oligoryzomys flavescens,Continental
Oligoryzomys fulvescens,Continental
Oligoryzomys microtis,Continental
Onychomys arenicola,Continental
Onychomys leucogaster,Continental
Onychomys torridus,Continental
Orthogeomys hispidus,Continental
Oxymycterus roberti,Continental
Oxymycterus rufus,Continental
Nephelomys albigularis,Continental
Handleyomys alfaroi,Continental
Euryoryzomys macconnelli,Continental
Euryoryzomys nitidus,Continental
Cerradomys subflavus,Continental
Otomys angoniensis,Continental
Otomys unisulcatus,Continental
Otonyctomys hatti,Continental
Ototylomys phyllotis,Continental
Oxymycterus angularis,Continental
Oxymycterus delator,Continental
Oxymycterus hispidus,Continental
Brucepattersonius iheringi,Continental
Oxymycterus nasutus,Continental
Sicista concolor,Continental
Sicista napaea,Continental
Peromyscus difficilis,Continental
Pelomys minor,Continental
Peromyscus gratus,Continental
Peromyscus leucopus,Continental
Peromyscus levipes,Continental
Cratogeomys castanops,Continental
Paracrocidura graueri,Continental
Sicista severtzovi,Continental
Paradipus ctenodactylus,Continental
Thomasomys daphne,Continental
Paraxerus alexandri,Continental
Paraxerus vincenti,Continental
Peromyscus pectoralis,Continental
Paraxerus boehmi,Continental
Paraxerus cepapi,Continental
Paraxerus flavovittis,Continental
Paraxerus lucifer,Continental
Paraxerus ochraceus,Continental
Parotomys brantsii,Continental
Parotomys littledalei,Continental
Pectinator spekei,Continental
Pedetes capensis,Continental
Pelomys campanae,Continental
Pelomys fallax,Continental
Perognathus flavescens,Continental
Peromyscus spicilegus,Continental
Peromyscus truei,Continental
Perognathus flavus,Continental
Perognathus longimembris,Continental
Perognathus merriami,Continental
Peromyscus megalops,Continental
Petaurillus kinlochii,Continental
Peromyscus melanophrys,Continental
Peromyscus melanotis,Continental
Peromyscus merriami,Continental
Peromyscus nasutus,Continental
Phodopus campbelli,Continental
Phodopus roborovskii,Continental
Phodopus sungorus,Continental
Platacanthomys lasiurus,Continental
Phyllotis amicus,Continental
Phyllotis andium,Continental
Phyllotis haggardi,Continental
Phyllotis magister,Continental
Phyllotis wolffsohni,Continental
Pithecheir parvus,Continental
Procapra picticaudata,Continental
Praomys hartwigi,Continental
Praomys jacksoni,Continental
Procapra gutturosa,Continental
Psammomys obesus,Continental
Pseudomys oralis,Continental
Pseudoryzomys simplex,Continental
Pygeretmus platyurus,Continental
Pygeretmus pumilio,Continental
Rattus ranjiniae,Continental
Reithrodontomys fulvescens,Continental
Reithrodontomys gracilis,Continental
Reithrodontomys megalotis,Continental
Ruwenzorisorex suncoides,Continental
Saccostomus campestris,Continental
Rattus pyctoris,Continental
Reithrodontomys mexicanus,Continental
Reithrodontomys montanus,Continental
Reithrodontomys sumichrasti,Continental
Reithrodontomys zacatecae,Continental
Sciurus nayaritensis,Continental
Sciurus niger,Continental
Rhipidomys latimanus,Continental
Rhipidomys leucodactylus,Continental
Rhipidomys wetzeli,Continental
Rhizomys sinensis,Continental
Rhombomys opimus,Continental
Saccostomus mearnsi,Continental
Salpingotus heptneri,Continental
Salpingotus kozlovi,Continental
Salpingotus pallidus,Continental
Sciurotamias davidianus,Continental
Sciurus deppei,Continental
Sciurus griseus,Continental
Sciurus spadiceus,Continental
Sciurus stramineus,Continental
Sciurus igniventris,Continental
Sciurus yucatanensis,Continental
Sicista strandi,Continental
Sigmodon alstoni,Continental
Sigmodon hispidus,Continental
Sigmodon mascotensis,Continental
Sigmodon ochrognathus,Continental
Sigmodontomys alfari,Continental
Sorex arizonae,Continental
Spalax microphthalmus,Continental
Spermophilopsis leptodactylus,Continental
Spermophilus alashanicus,Continental
Spermophilus dauricus,Continental
Stenocephalemys griseicauda,Continental
Spermophilus erythrogenys,Continental
Steatomys jacksoni,Continental
Steatomys pratensis,Continental
Surdisorex norae,Continental
Surdisorex polulus,Continental
Suncus dayi,Continental
Sylvisorex morio,Continental
Sylvisorex oriundus,Continental
Gerbilliscus boehmi,Continental
Gerbilliscus brantsii,Continental
Taterillus arenarius,Continental
Taterillus emini,Continental
Gerbilliscus inclusus,Continental
Taterillus gracilis,Continental
Thallomys loringi,Continental
Thallomys nigricauda,Continental
Thallomys paedulcus,Continental
Thomomys bottae,Continental
Thomomys umbrinus,Continental
Thomomys mazama,Continental
Thryonomys swinderianus,Continental
Crocidura luna,Continental
Crocidura lusitania,Continental
Microtus clarkei,Continental
Xerus inauris,Continental
Xerus princeps,Continental
Xerus rutilus,Continental
Zapus trinotatus,Continental
Crocidura mutesae,Continental
Zelotomys woosnami,Continental
Zelotomys hildegardeae,Continental
Crocidura silacea,Continental
Crocidura crossei,Continental
Atelerix albiventris,Continental
Mesechinus dauuricus,Continental
Chimarrogale styani,Continental
Crocidura bottegi,Continental
Crocidura fulvastra,Continental
Crocidura fuscomurina,Continental
Praomys obscurus,Continental
Crocidura cinderella,Continental
Crocidura planiceps,Continental
Crocidura goliath,Continental
Crocidura hildegardeae,Continental
Crocidura hirta,Continental
Crocidura jacksoni,Continental
Crocidura lasiura,Continental
Crocidura littoralis,Continental
Crocidura roosevelti,Continental
Crocidura macarthuri,Continental
Crocidura mariquensis,Continental
Crocidura sibirica,Continental
Crocidura maurisca,Continental
Crocidura muricauda,Continental
Crocidura nigrofusca,Continental
Crocidura olivieri,Continental
Crocidura somalica,Continental
Crocidura yankariensis,Continental
Crocidura zaphiri,Continental
Dipodomys panamintinus,Continental
Crocidura zarudnyi,Continental
Cryptotis parva,Continental
Sorex portenkoi,Continental
Myosorex cafer,Continental
Myosorex varius,Continental
Sorex preblei,Continental
Sorex roboratus,Continental
Sorex trowbridgii,Continental
Sorex ugyunak,Continental
Paracrocidura schoutedeni,Continental
Sorex arcticus,Continental
Sorex bendirii,Continental
Episoriculus leucops,Continental
Episoriculus macrurus,Continental
Peromyscus attwateri,Continental
Peromyscus gossypinus,Continental
Anourosorex squamipes,Continental
Blarina carolinensis,Continental
Blarina hylophaga,Continental
Notiosorex crawfordi,Continental
Crocidura obscurior,Continental
Peromyscus polionotus,Continental
Meriones shawi,Continental
Mylomys dybowskii,Continental
Neotoma cinerea,Continental
Euroscaptor klossi,Continental
Ammospermophilus harrisii,Continental
Ammospermophilus interpres,Continental
Cynomys gunnisoni,Continental
Ochrotomys nuttalli,Continental
Neotamias amoenus,Continental
Spermophilus brevicauda,Continental
Neotamias sonomae,Continental
Neotamias speciosus,Continental
Neotamias townsendii,Continental
Dipodomys californicus,Continental
Neotamias umbrinus,Continental
Tamiasciurus douglasii,Continental
Geomys bursarius,Continental
Geomys pinetis,Continental
Orthogeomys grandis,Continental
Thomomys talpoides,Continental
Thomomys townsendii,Continental
Microdipodops megacephalus,Continental
Microdipodops pallidus,Continental
Perognathus fasciatus,Continental
Perognathus parvus,Continental
Napaeozapus insignis,Continental
Zapus princeps,Continental
Myodes californicus,Continental
Myodes gapperi,Continental
Dicrostonyx richardsoni,Continental
Lemmiscus curtatus,Continental
Microtus chrotorrhinus,Continental
Microtus longicaudus,Continental
Microtus miurus,Continental
Microtus ochrogaster,Continental
Microtus oregoni,Continental
Reithrodontomys humulis,Continental
Lophuromys chrysopus,Continental
Microtus richardsoni,Continental
Phenacomys intermedius,Continental
Phenacomys ungava,Continental
Graphiurus johnstoni,Continental
Allocricetulus curtatus,Continental
Pseudomys bolami,Continental
Pseudomys chapmani,Continental
Acomys johannis,Continental
Myosorex zinki,Continental
Neacomys tenuipes,Continental
Neotoma floridana,Continental
Neotoma stephensi,Continental
Pithecia pithecia,Continental
Otomys cuanzensis,Continental
Graphiurus nagtglasii,Continental
Thamnomys schoutedeni,Continental
Myomyscus angolensis,Continental
Praomys daltoni,Continental
Calomyscus grandis,Continental
Praomys derooi,Continental
Stenocephalemys ruppi,Continental
Congosorex phillipsorum,Continental
Oecomys catherinae,Continental
Myomyscus brockmani,Continental
Sooretamys angouya,Continental
Notiosorex evotis,Continental
Eothenomys miletus,Continental
Allactaga williamsi,Continental
Vandeleuria nilagirica,Continental
Crocidura jouvenetae,Continental
Funisciurus duchaillui,Continental
Acomys dimidiatus,Continental
Necromys lenguarum,Continental
Niviventer cameroni,Continental
Rattus satarae,Continental
Scapteromys aquaticus,Continental
Sigmodon toltecus,Continental
Spalax uralensis,Continental
Anourosorex schmidi,Continental
Chaetodipus eremicus,Continental
Oxymycterus quaestor,Continental
Monodelphis handleyi,Continental
Oecomys auyantepui,Continental
Oligoryzomys fornesi,Continental
Nectomys apicalis,Continental
Neotoma leucodon,Continental
Geomys breviceps,Continental
Oecomys concolor,Continental
Rhipidomys nitela,Continental
Allactaga elater,Continental
Heteromys desmarestianus,Continental
Aotus nancymaae,Continental
Lycalopex griseus,Continental
Diplomesodon pulchellum,Continental
Alouatta juara,Continental
Ailurus fulgens,Continental
Crocidura pasha,Continental
Chionomys roberti,Continental
Microtus felteni,Continental
Phacochoerus africanus,Continental
Sorex satunini,Continental
Urocitellus brunneus,Continental
Chionomys gud,Continental
Urocitellus washingtoni,Continental
Orthogeomys thaeleri,Continental
Alouatta puruensis,Continental
Orthogeomys matagalpae,Continental
Mustela nigripes,Continental
Mustela africana,Continental
Myomimus roachi,Continental
Myosorex longicaudatus,Continental
Myosorex blarina,Continental
Myosorex sclateri,Continental
Myosorex tenuis,Continental
Myospalax myospalax,Continental
Pygathrix cinerea,Continental
Petrogale xanthopus,Continental
Myrmecobius fasciatus,Continental
Myrmecophaga tridactyla,Continental
Naemorhedus caudatus,Continental
Naemorhedus goral,Continental
Mystromys albicaudatus,Continental
Naemorhedus baileyi,Continental
Nelsonia goldmani,Continental
Naemorhedus griseus,Continental
Nelsonia neotomodon,Continental
Neofelis nebulosa,Continental
Neofiber alleni,Continental
Neacomys guianae,Continental
Neacomys pictus,Continental
Neotoma magister,Continental
Neotoma angustapalata,Continental
Neotoma chrysomelas,Continental
Neotoma devia,Continental
Neotoma fuscipes,Continental
Neotoma nelsoni,Continental
Neotoma palatina,Continental
Neotoma phenax,Continental
Neotoma macrotis,Continental
Neotomodon alstoni,Continental
Neotomys ebriosus,Continental
Neotragus pygmaeus,Continental
Neotragus batesi,Continental
Nesokia bunnii,Continental
Niviventer brahma,Continental
Neusticomys monticolus,Continental
Neusticomys mussoi,Continental
Neusticomys oyapocki,Continental
Neusticomys peruviensis,Continental
Neusticomys venezuelae,Continental
Niviventer andersoni,Continental
Niviventer excelsior,Continental
Niviventer eha,Continental
Niviventer niviventer,Continental
Notoryctes typhlops,Continental
Notomys fuscus,Continental
Notomys alexis,Continental
Notoryctes caurinus,Continental
Nycticebus pygmaeus,Continental
Proechimys quadruplicatus,Continental
Trinomys setosus,Continental
Pelomys isseli,Continental
Perognathus alticola,Continental
Ochotona nubrica,Continental
Ochotona thomasi,Continental
Ochotona koslowi,Continental
Ochotona forresti,Continental
Ochotona iliensis,Continental
Octodon degus,Continental
Octodon lunatus,Continental
Octodontomys gliroides,Continental
Octomys mimax,Continental
Oecomys cleberi,Continental
Oecomys flavicans,Continental
Oecomys mamorae,Continental
Oenomys ornatus,Continental
Oecomys paricola,Continental
Oecomys phaeotis,Continental
Okapia johnstoni,Continental
Olallamys albicauda,Continental
Olallamys edax,Continental
Oligoryzomys arenalis,Continental
Oligoryzomys delticola,Continental
Leopardus geoffroyi,Continental
Leopardus jacobita,Continental
Oxymycterus hiska,Continental
Ozotoceros bezoarticus,Continental
Oryx dammah,Continental
Oryx leucoryx,Continental
Oreotragus oreotragus,Continental
Orthogeomys cavator,Continental
Orthogeomys cuniculus,Continental
Orthogeomys heterodus,Continental
Oryx beisa,Continental
Handleyomys chapmani,Continental
Pachyuromys duprasi,Continental
Peromyscus aztecus,Continental
Oryx gazella,Continental
Nephelomys auriventer,Continental
Oreoryzomys balneator,Continental
Transandinomys bolivaris,Continental
Nephelomys devius,Continental
Oryzomys dimidiatus,Continental
Mindomys hammondi,Continental
Handleyomys intectus,Continental
Nephelomys keaysi,Continental
Euryoryzomys lamia,Continental
Euryoryzomys legatus,Continental
Nephelomys levipes,Continental
Handleyomys melanotis,Continental
Capra sibirica,Continental
Hylaeamys oniscus,Continental
Eremoryzomys polius,Continental
Handleyomys rhabdops,Continental
Handleyomys saturatior,Continental
Transandinomys talamancae,Continental
Genetta piscivora,Continental
Osgoodomys banderanus,Continental
Otomys denti,Continental
Otomys irroratus,Continental
Otocolobus manul,Continental
Otocyon megalotis,Continental
Otolemur crassicaudatus,Continental
Ovis ammon,Continental
Otomys anchietae,Continental
Otomys laminatus,Continental
Otomys occidentalis,Continental
Otomys sloggetti,Continental
Ovis orientalis,Continental
Otomys tropicalis,Continental
Otomys typus,Continental
Oxymycterus hucucha,Continental
Ovis nivicola,Continental
Oxymycterus inca,Continental
Oxymycterus akodontius,Continental
Peromyscus furvus,Continental
Peromyscus grandis,Continental
Pan paniscus,Continental
Pan troglodytes,Continental
Papio papio,Continental
Papio hamadryas,Continental
Papio ursinus,Continental
Pantholops hodgsonii,Continental
Cratogeomys fumosus,Continental
Cratogeomys merriami,Continental
Paracrocidura maxima,Continental
Paradoxurus jerdoni,Continental
Peromyscus ochraventer,Continental
Paraxerus vexillarius,Continental
Paraxerus cooperi,Continental
Peromyscus zarhynchus,Continental
Marmota broweri,Continental
Marmota caligata,Continental
Pelea capreolus,Continental
Pelomys hopkinsi,Continental
Perognathus amplus,Continental
Peromyscus bullatus,Continental
Peromyscus californicus,Continental
Peromyscus guatemalensis,Continental
Peromyscus gymnotis,Continental
Peromyscus hooperi,Continental
Peromyscus mayensis,Continental
Peromyscus mekisturus,Continental
Peromyscus melanocarpus,Continental
Peromyscus melanurus,Continental
Peromyscus mexicanus,Continental
Praomys verschureni,Continental
Peromyscus perfulvus,Continental
Peromyscus polius,Continental
Peromyscus simulus,Continental
Peromyscus stirtoni,Continental
Peromyscus winkelmanni,Continental
Peromyscus yucatanicus,Continental
Petaurista magnificus,Continental
Petaurista nobilis,Continental
Petaurus gracilis,Continental
Petaurus australis,Continental
Petrogale coenensis,Continental
Petrogale sharmani,Continental
Petromus typicus,Continental
Petromyscus barbouri,Continental
Phaenomys ferrugineus,Continental
Petromyscus shortridgei,Continental
Phascogale calura,Continental
Phyllotis xanthopygus,Continental
Phyllotis bonariensis,Continental
Phyllotis caprinus,Continental
Phyllotis darwini,Continental
Phyllotis definitus,Continental
Phyllotis gerbillus,Continental
Phyllotis osgoodi,Continental
Phyllotis osilae,Continental
Proechimys simonsi,Continental
Proechimys steerei,Continental
Pithecia aequatorialis,Continental
Podomys floridanus,Continental
Podoxymys roraimae,Continental
Potamogale velox,Continental
Potorous longipes,Continental
Potorous gilbertii,Continental
Praomys delectorum,Continental
Praomys minor,Continental
Praomys misonnei,Continental
Praomys mutoni,Continental
Praomys rostratus,Continental
Prometheomys schaposchnikowi,Continental
Rhipidomys venustus,Continental
Prionomys batesi,Continental
Procolobus verus,Continental
Piliocolobus temminckii,Continental
Piliocolobus waldronae,Continental
Piliocolobus bouvieri,Continental
Piliocolobus oustaleti,Continental
Piliocolobus tephrosceles,Continental
Proechimys hoplomyoides,Continental
Piliocolobus tholloni,Continental
Trinomys albispinus,Continental
Proechimys brevicauda,Continental
Proechimys canicollis,Continental
Proechimys guyannensis,Continental
Proechimys chrysaeolus,Continental
Proechimys cuvieri,Continental
Proechimys longicaudatus,Continental
Proechimys mincae,Continental
Proechimys oconnelli,Continental
Proechimys roberti,Continental
Proechimys decumanus,Continental
Proechimys goeldii,Continental
Proechimys guairae,Continental
Proedromys bedfordi,Continental
Caracal aurata,Continental
Psammomys vexillaris,Continental
Proteles cristata,Continental
Protoxerus aubinnii,Continental
Pseudochirops archeri,Continental
Pseudocheirus occidentalis,Continental
Pseudochirulus herbertensis,Continental
Pseudomys fumeus,Continental
Pseudomys pilligaensis,Continental
Pseudomys apodemoides,Continental
Pseudoryx nghetinhensis,Continental
Pteronura brasiliensis,Continental
Trachypithecus geei,Continental
Pudu mephistophiles,Continental
Pygeretmus zhitkovi,Continental
