Species,Endemicity
Rhinolophus darlingi,Continental
Rhinolophus denti,Continental
Rhinolophus guineensis,Continental
Rhinolophus fumigatus,Continental
Rhinolophus marshalli,Continental
Rhinolophus mitratus,Continental
Rhinolophus osgoodi,Continental
Rhinolophus paradoxolophus,Continental
Rhinolophus rex,Continental
Rhinolophus silvestris,Continental
Rhinolophus subbadius,Continental
Rhinolophus thomasi,Continental
Sturnira mordax,Continental
Rhogeessa alleni,Continental
Rhinophylla alethina,Continental
Rhinophylla fischerae,Continental
Rhinophylla pumilio,Continental
Rhogeessa genowaysi,Continental
Rhinopoma muscatellum,Continental
Rhogeessa gracilis,Continental
Rhogeessa mira,Continental
Rhogeessa parvula,Continental
Rhogeessa tumida,Continental
Rousettus lanosus,Continental
Saccopteryx gymnura,Continental
Sphaeronycteris toxophyllum,Continental
Scleronycteris ega,Continental
Scotoecus albofuscus,Continental
Scotoecus hirundo,Continental
Scotoecus pallidus,Continental
Scotonycteris ophiodon,Continental
Scotophilus leucogaster,Continental
Scotophilus nigrita,Continental
Sturnira luisi,Continental
Sturnira magna,Continental
Sturnira aratathomasi,Continental
Sturnira bidens,Continental
Sturnira bogotensis,Continental
Sturnira erythromos,Continental
Sturnira nana,Continental
Tadarida lobata,Continental
Tadarida ventralis,Continental
Taphozous hilli,Continental
Taphozous kapalgensis,Continental
Taphozous hamiltoni,Continental
Taphozous troughtoni,Continental
Thyroptera discifera,Continental
Thyroptera lavali,Continental
Thyroptera tricolor,Continental
Tonatia bidens,Continental
Lophostoma evotis,Continental
Tomopeas ravus,Continental
Lophostoma schulzi,Continental
Uroderma magnirostrum,Continental
Vampyressa melissa,Continental
Vampyriscus nymphaea,Continental
Vampyressa pusilla,Continental
Vampyriscus bidens,Continental
Vampyriscus brocki,Continental
Myotis csorbai,Continental
Histiotus humboldti,Continental
Lasiurus atratus,Continental
Lonchorhina inusitata,Continental
Micronycteris brosseti,Continental
Micronycteris sanborni,Continental
Arielulus aureocollaris,Continental
Tadarida latouchei,Continental
Rhinolophus convexus,Continental
Arielulus societatis,Continental
Cormura brevirostris,Continental
Eptesicus gobiensis,Continental
Lasiurus xanthinus,Continental
Nycticeinops schlieffeni,Continental
Platymops setiger,Continental
Sauromys petrophilus,Continental
Nycteris parisii,Continental
Nycteris vinsoni,Continental
Epomophorus crypturus,Continental
Rhinolophus hilli,Continental
Rhinolophus hillorum,Continental
Rhinolophus maendeleo,Continental
Rhinolophus ruwenzorii,Continental
Rhinolophus sakejiensis,Continental
Rhinolophus ziama,Continental
Glauconycteris alboguttata,Continental
Glauconycteris argentata,Continental
Glauconycteris curryae,Continental
Glauconycteris egeria,Continental
Glauconycteris gleni,Continental
Glauconycteris humeralis,Continental
Glauconycteris kenyacola,Continental
Glauconycteris machadoi,Continental
Glauconycteris superba,Continental
Glauconycteris variegata,Continental
Pipistrellus crassulus,Continental
Pipistrellus musciculus,Continental
Pipistrellus eisentrauti,Continental
Plecotus balensis,Continental
Neoromicia brunnea,Continental
Neoromicia flavescens,Continental
Neoromicia guineensis,Continental
Neoromicia helios,Continental
Neoromicia rendalli,Continental
Neoromicia somalica,Continental
Neoromicia zuluensis,Continental
Plecotus christii,Continental
Scotophilus nucella,Continental
Myotis bucharensis,Continental
Rhogeessa hussoni,Continental
Lonchophylla chocoana,Continental
Platyrrhinus ismaeli,Continental
Anoura fistulata,Continental
Kerivoula kachinensis,Continental
Myotis davidii,Continental
Pteronotus paraguanensis,Continental
Cynomops mexicanus,Continental
Epomophorus anselli,Continental
Kerivoula titania,Continental
Hipposideros khaokhouayensis,Continental
Mimon koepckeae,Continental
Carollia sowelli,Continental
Platyrrhinus albericoi,Continental
Micronycteris matses,Continental
Pipistrellus hanaki,Continental
Myotis annamiticus,Continental
Myotis hajastanicus,Continental
Platyrrhinus nigellus,Continental
Xeronycteris vieirai,Continental
Platyrrhinus matapalensis,Continental
Saccopteryx antioquensis,Continental
Micronycteris microtis,Continental
Eumops floridanus,Continental
Sturnira oporaphilum,Continental
Natalus espiritosantensis,Continental
Myotis nipalensis,Continental
Hipposideros rotalis,Continental
Hipposideros grandis,Continental
Histiotus laephotis,Continental
Eptesicus chiriquinus,Continental
Pipistrellus alaschanicus,Continental
Hipposideros scutinares,Continental
Platyrrhinus masu,Continental
Kerivoula krauensis,Continental
Sturnira mistratensis,Continental
Thyroptera devivoi,Continental
Rhinolophus shortridgei,Continental
Leptonycteris yerbabuenae,Continental
Myotis occultus,Continental
Rhinolophus siamensis,Continental
Vampyressa thyone,Continental
Myotis dieteri,Continental
Lonchophylla concava,Continental
Lonchophylla orcesi,Continental
Hipposideros inornatus,Continental
Carollia manu,Continental
Sturnira sorianoi,Continental
Myotis melanorhinus,Continental
Eumops trumbulli,Continental
Rhogeessa aeneus,Continental
Pteropus intermedius,Continental
Myonycteris torquata,Continental
Myonycteris leptodon,Continental
Eptesicus isabellinus,Continental
Megaloglossus azagnyi,Continental
Megaloglossus woermanni,Continental
Epomophorus labiatus,Continental
Cynomops paranus,Continental
Cynomops milleri,Continental
Eumops bonariensis,Continental
Pteronotus mesoamericanus,Continental
Pteronotus rubiginosus,Continental
Peropteryx pallidoptera,Continental
Vampyrodes major,Continental
Sturnira koopmanhilli,Continental
Sturnira perla,Continental
Sturnira ludovici,Continental
Platyrrhinus helleri,Continental
Platyrrhinus aquilus,Continental
Platyrrhinus dorsalis,Continental
Platyrrhinus nitelinea,Continental
Molossus alvarezi,Continental
Molossus currentium,Continental
Promops davisoni,Continental
Anoura caudifer,Continental
Carollia castanea,Continental
Micronycteris giovanniae,Continental
Lophostoma occidentalis,Continental
Lophostoma silvicolum,Continental
Lophostoma kalkoae,Continental
Thyroptera wynneae,Continental
Murina harrisoni,Continental
Platyrrhinus umbratus,Continental
Lophostoma carrikeri,Continental
Scotorepens greyii,Continental
Nycticeius humeralis,Continental
Balantiopteryx plicata,Continental
Histiotus alienus,Continental
Histiotus macrotus,Continental
Histiotus montanus,Continental
Histiotus velatus,Continental
Anoura cultrata,Continental
Anoura latidens,Continental
Anoura luismanueli,Continental
Bauerus dubiaquercus,Continental
Dermanura cinerea,Continental
Artibeus concolor,Continental
Artibeus fimbriatus,Continental
Artibeus fraterculus,Continental
Dermanura gnoma,Continental
Artibeus amplus,Continental
Dermanura anderseni,Continental
Dermanura azteca,Continental
Artibeus obscurus,Continental
Artibeus planirostris,Continental
Artibeus inopinatus,Continental
Dermanura tolteca,Continental
Balantiopteryx infusca,Continental
Balantiopteryx io,Continental
Cardioderma cor,Continental
Carollia brevicauda,Continental
Carollia subrufa,Continental
Casinycteris argynnis,Continental
